"query","function_calls","full_response","error"
"Delete my last email from nadia","[]","","Requested tokens (6399) exceed context window of 4096"
"Delete my last email from sofia","[]","","Requested tokens (6399) exceed context window of 4096"
"Delete my last email from anaya","[]","","Requested tokens (6399) exceed context window of 4096"
"nadia just sent me an email that I need to delete. Can you get rid of of the most recent email they sent me?","[]","","Requested tokens (6418) exceed context window of 4096"
"Delete my last email from yuki","[]","","Requested tokens (6399) exceed context window of 4096"
"I need to delete my last email from leila. Can you do that?","[]","","Requested tokens (6407) exceed context window of 4096"
"Delete my last email from chenwei","[]","","Requested tokens (6400) exceed context window of 4096"
"Delete my last email from kofi","[]","","Requested tokens (6399) exceed context window of 4096"
"anaya just sent me an email that I need to delete. Can you get rid of of the most recent email they sent me?","[]","","Requested tokens (6418) exceed context window of 4096"
"Delete my last email from jinsoo","[]","","Requested tokens (6400) exceed context window of 4096"
"All my emails from yuki from the last 3 days need to be deleted. Can you do that?","[]","","Requested tokens (6413) exceed context window of 4096"
"Delete all my emails from yuki from the last 5 days","[]","","Requested tokens (6405) exceed context window of 4096"
"I need to get rid of all my emails from amir from the last 6 days. Can you do delete them?","[]","","Requested tokens (6416) exceed context window of 4096"
"All my emails from santiago from the last 3 days need to be deleted. Can you do that?","[]","","Requested tokens (6413) exceed context window of 4096"
"I need to get rid of all my emails from nia from the last 4 days. Can you do delete them?","[]","","Requested tokens (6416) exceed context window of 4096"
"I need to get rid of all my emails from raj from the last 3 days. Can you do delete them?","[]","","Requested tokens (6415) exceed context window of 4096"
"I need to get rid of all my emails from nadia from the last 2 days. Can you do delete them?","[]","","Requested tokens (6416) exceed context window of 4096"
"I need to get rid of all my emails from nadia from the last 4 days. Can you do delete them?","[]","","Requested tokens (6416) exceed context window of 4096"
"Delete all my emails from jinsoo from the last 4 days","[]","","Requested tokens (6406) exceed context window of 4096"
"Delete all my emails from amir from the last 6 days","[]","","Requested tokens (6405) exceed context window of 4096"
"I need to send an email to kofi saying 'Hey kofi,\n\nI wanted to let you know that I've completed the tasks for the status briefing. Looking forward to your feedback.\n\nCheers,\n\nSam' and title it 'Task Update on Improve UX of onboarding process'. Can you do that?","[]","","Requested tokens (6461) exceed context window of 4096"
"please send an email to jinsoo saying 'Hi jinsoo,\n\nStarting on 'Create wireframe for homepage' today. Any preliminary thoughts or resources you recommend before I dive in?\n\nBest,\n\nSam' and title it 'Task Update on Design logo for website'","[]","","Requested tokens (6454) exceed context window of 4096"
"I need to send an email to dmitri saying 'Hey dmitri,\n\nEncountered a few challenges while working on the Innovation and Creativity Hackathon. Could use your advice.\n\nThanks,\n\nSam' and title it 'Update on performance evaluation'. Can you do that?","[]","","Requested tokens (6457) exceed context window of 4096"
