"query","function_calls","full_response","error"
"Send a Slack message to channel 'general' saying 'Good morning!'","[]","","'\n  ""action""'"
"Message the marketing channel on Slack saying 'Campaign approved'","[]","","'\n  ""action""'"
"Send a Slack direct message to 'john' saying 'Are you available?'","[]","","'\n  ""action""'"
"Can you Slack sarah and tell her 'The meeting is starting'?","[]","","'\n  ""action""'"
"Read the last Slack message from the 'general' channel","[]","","'\n  ""action""'"
"What was the latest message in engineering Slack?","[]","","'\n  ""action""'"
"Read my last direct message conversation with john on Slack","[]","","'\n  ""action""'"
"Search Slack for messages with the word 'project'","[]","","'\n  ""action""'"
"Find Slack messages that mention 'deployment'","[]","","'\n  ""action""'"
"Search Slack for 'timesheets'","[]","","'\n  ""action""'"
