"query","function_calls","full_response","error"
"Delete my last email from nadia","[]","","'\n  ""action""'"
"Delete my last email from sofia","[]","","'\n  ""action""'"
"Delete my last email from anaya","[]","","'\n  ""action""'"
"nadia just sent me an email that I need to delete. Can you get rid of of the most recent email they sent me?","[]","","'\n  ""action""'"
"Delete my last email from yuki","[]","","'\n  ""action""'"
"I need to delete my last email from leila. Can you do that?","[]","","'\n  ""action""'"
"Delete my last email from chenwei","[]","","'\n  ""action""'"
"Delete my last email from kofi","[]","","'\n  ""action""'"
"anaya just sent me an email that I need to delete. Can you get rid of of the most recent email they sent me?","[]","","'\n  ""action""'"
"Delete my last email from jinsoo","[]","","'\n  ""action""'"
"All my emails from yuki from the last 3 days need to be deleted. Can you do that?","[]","","'\n  ""action""'"
"Delete all my emails from yuki from the last 5 days","[]","","'\n  ""action""'"
"I need to get rid of all my emails from amir from the last 6 days. Can you do delete them?","[]","","'\n  ""action""'"
"All my emails from santiago from the last 3 days need to be deleted. Can you do that?","[]","","'\n  ""action""'"
"I need to get rid of all my emails from nia from the last 4 days. Can you do delete them?","[]","","'\n  ""action""'"
"I need to get rid of all my emails from raj from the last 3 days. Can you do delete them?","[]","","'\n  ""action""'"
"I need to get rid of all my emails from nadia from the last 2 days. Can you do delete them?","[]","","'\n  ""action""'"
"I need to get rid of all my emails from nadia from the last 4 days. Can you do delete them?","[]","","'\n  ""action""'"
"Delete all my emails from jinsoo from the last 4 days","[]","","'\n  ""action""'"
"Delete all my emails from amir from the last 6 days","[]","","'\n  ""action""'"
"I need to send an email to kofi saying 'Hey kofi,\n\nI wanted to let you know that I've completed the tasks for the status briefing. Looking forward to your feedback.\n\nCheers,\n\nSam' and title it 'Task Update on Improve UX of onboarding process'. Can you do that?","[]","","'\n  ""action""'"
"please send an email to jinsoo saying 'Hi jinsoo,\n\nStarting on 'Create wireframe for homepage' today. Any preliminary thoughts or resources you recommend before I dive in?\n\nBest,\n\nSam' and title it 'Task Update on Design logo for website'","[]","","'\n  ""action""'"
"I need to send an email to dmitri saying 'Hey dmitri,\n\nEncountered a few challenges while working on the Innovation and Creativity Hackathon. Could use your advice.\n\nThanks,\n\nSam' and title it 'Update on performance evaluation'. Can you do that?","[]","","'\n  ""action""'"
