"query","answer","base_template","chosen_template","domains"
"Send a Slack message to channel 'general' saying 'Good morning!'","['slack.send_message.func(channel=""general"", body=""Good morning!"")']","Send a Slack message to channel '{channel}' saying '{body}'","Send a Slack message to channel '{channel}' saying '{body}'","['slack']"
"Message the marketing channel on Slack saying 'Campaign approved'","['slack.send_message.func(channel=""marketing"", body=""Campaign approved"")']","Send a Slack message to channel '{channel}' saying '{body}'","Message the {channel} channel on Slack saying '{body}'","['slack']"
"Send a Slack direct message to 'john' saying 'Are you available?'","['slack.send_message.func(user=""john"", body=""Are you available?"")']","Send a Slack direct message to '{user}' saying '{body}'","Send a Slack direct message to '{user}' saying '{body}'","['slack']"
"Can you Slack sarah and tell her 'The meeting is starting'?","['slack.send_message.func(user=""sarah"", body=""The meeting is starting"")']","Send a Slack direct message to '{user}' saying '{body}'","Can you Slack {user} and tell her '{body}'?","['slack']"
"Read the last Slack message from the 'general' channel","['slack.read_last_message.func(channel=""general"")']","Read the last Slack message from the '{channel}' channel","Read the last Slack message from the '{channel}' channel","['slack']"
"What was the latest message in engineering Slack?","['slack.read_last_message.func(channel=""engineering"")']","Read the last Slack message from the '{channel}' channel","What was the latest message in {channel} Slack?","['slack']"
"Read my last direct message conversation with john on Slack","['slack.read_last_message.func(user=""john"")']","Read my last direct message conversation with {user} on Slack","Read my last direct message conversation with {user} on Slack","['slack']"
"Search Slack for messages with the word 'project'","['slack.search_messages.func(query=""project"")']","Search Slack for messages with the word '{query}'","Search Slack for messages with the word '{query}'","['slack']"
"Find Slack messages that mention 'deployment'","['slack.search_messages.func(query=""deployment"")']","Search Slack for messages with the word '{query}'","Find Slack messages that mention '{query}'","['slack']"
"Search Slack for 'timesheets'","['slack.search_messages.func(query=""timesheets"")']","Search Slack for messages with the word '{query}'","Search Slack for '{query}'","['slack']"
